U:0,U:1,U:2,Points:0,Points:1,Points:2
0.01578958,0.5237734,0.03612685,0.2491096,0.249129,0.04846505
-0.04112575,0.5272338,0.05322277,0.4501654,0.2493803,0.04689583
-0.02711168,0.5662828,0.03406326,0.6499431,0.249528,0.04649373
-0.03908577,0.5624535,0.03727295,0.8499477,0.2494192,0.04640943
-0.04755607,0.5585621,0.03008259,1.049969,0.2493555,0.04637948
-0.07315561,0.5569328,0.0316731,1.249998,0.2489808,0.04623299
-0.07798575,0.5415862,0.01882124,1.450018,0.2469862,0.04556561
-0.09090294,0.5420179,0.03507194,1.649954,0.2478099,0.04582222
-0.1084972,0.5302531,0.03567453,1.849964,0.2482101,0.04597378
-0.1171007,0.5208192,0.02305122,2.050005,0.2467543,0.04548295
-0.1134245,0.4982927,0.02073608,2.349973,0.238784,0.1415581
-0.1364861,0.4814128,0.009459622,2.450019,0.2387737,0.1415503
0.03561486,0.5001845,-0.00711753,0.2492878,0.4501988,0.04685746
0.0293477,0.5291531,-0.0244005,0.4988736,0.4989156,0.09640417
-0.006647425,0.5483137,0.0219381,0.6988882,0.4982955,0.09467414
-0.02133668,0.563202,-0.01734544,0.8991826,0.4975798,0.09394093
-0.0374783,0.5581415,0.02495694,1.099534,0.4971,0.09370398
-0.06279507,0.5787518,-0.01628588,1.299757,0.4967045,0.09357189
-0.06555073,0.56983,0.0003961692,1.499857,0.4963944,0.09348203
-0.0932163,0.583577,-0.002037076,1.69991,0.4964151,0.09347556
-0.1141772,0.58607,-0.007815067,1.89996,0.4963548,0.09345758
-0.1308371,0.5869728,-0.006467477,2.09998,0.4961045,0.09340187
-0.1486913,0.5873295,-0.003938402,2.299983,0.4959619,0.09337058
-0.1670547,0.5890286,-0.002909211,2.499989,0.4959277,0.09335928
0.01031506,0.5296368,-0.004201507,0.2491803,0.6499416,0.04634396
-0.05493067,0.5181424,0.001410325,0.4982015,0.6988947,0.09465431
-0.04237267,0.4990439,0.02412368,0.6979689,0.6979714,0.09163727
-0.05328226,0.5103318,0.01639462,0.8985281,0.6972479,0.09052298
-0.05529664,0.4977167,0.02669696,1.099163,0.6967267,0.09017679
-0.06479696,0.511588,0.01640454,1.299537,0.6963981,0.09004352
-0.07426663,0.5086701,0.02350961,1.499735,0.6962062,0.08997935
-0.08703424,0.5121822,0.02240578,1.699845,0.6961218,0.08995029
-0.1020604,0.5211808,0.02079372,1.89991,0.6960602,0.08993302
-0.1166853,0.5233489,0.01928782,2.099947,0.6959827,0.0899174
-0.1344678,0.5301307,0.01890673,2.299967,0.6959273,0.08990712
-0.1532897,0.5350181,0.0173499,2.49998,0.6959059,0.08990258
0.02291887,0.563684,0.005456213,0.2487531,0.8498927,0.04618551
0.001749285,0.5505371,-0.007683033,0.4975055,0.8991659,0.09392402
-0.01873593,0.518792,0.004035629,0.6972741,0.8984936,0.09052324
-0.03313151,0.5532043,-0.003091634,0.8980022,0.8979312,0.08914166
-0.03542697,0.528483,0.005068888,1.098842,0.8975308,0.08870229
-0.061711,0.5745309,-0.002979481,1.299345,0.8972682,0.08853939
-0.06116131,0.5563699,0.002194646,1.499621,0.8971071,0.08846542
-0.08414648,0.5770421,0.002180801,1.699777,0.8970158,0.08842906
-0.09601782,0.5827406,0.003468612,1.899867,0.8969572,0.08840966
-0.1140269,0.5886929,0.003493506,2.09992,0.8969121,0.08839804
-0.1324041,0.5956465,0.003713902,2.299951,0.8968822,0.08839138
-0.1521661,0.6013286,0.003257022,2.49997,0.8968682,0.08838795
0.01747818,0.5659552,0.006168676,0.2492307,1.049977,0.0463326
-0.01964071,0.5398675,-0.002066952,0.4971101,1.099516,0.09370883
-0.02990796,0.5283844,-0.005066097,0.696817,1.099108,0.09018707
-0.03987567,0.5346696,-0.00158619,0.8976614,1.098739,0.08871025
-0.04912439,0.530398,-0.0004230404,1.098614,1.098448,0.08821914
-0.06268663,0.5418881,0.001611049,1.2992,1.098241,0.0880326
-0.06691552,0.5418883,0.001778607,1.499531,1.098104,0.08794754
-0.08179765,0.5502076,0.003305214,1.699721,1.098016,0.08790532
-0.09298914,0.5568612,0.003678644,1.899832,1.09796,0.08788317
-0.1071441,0.5633147,0.003426474,2.099898,1.097923,0.08787103
-0.1239767,0.572849,0.003463727,2.299938,1.0979,0.08786438
-0.1416856,0.5817124,0.003139533,2.499962,1.097888,0.08786078
0.004561555,0.5715817,0.002048504,0.248615,1.249994,0.04615687
-0.008892371,0.5632854,-0.002247742,0.4969272,1.299713,0.09363036
-0.02001563,0.5475708,-0.002811089,0.6966067,1.299458,0.09007634
-0.03049346,0.5671003,-0.0004332199,0.897491,1.29921,0.08856556
-0.03243137,0.5449943,-0.0005554218,1.098492,1.298996,0.08805151
-0.05302527,0.5797266,0.001471796,1.299119,1.298831,0.08785193
-0.05192421,0.5640495,0.0003364756,1.499478,1.298713,0.08775995
-0.07436122,0.5921609,0.001151955,1.699687,1.298633,0.08771423
-0.08166373,0.5938295,0.001175248,1.899811,1.29858,0.08769033
-0.1005206,0.6076131,0.001105135,2.099885,1.298546,0.08767742
-0.115129,0.61711,0.001019417,2.299929,1.298525,0.08767028
-0.1331173,0.6267807,0.0008256215,2.499956,1.298514,0.08766654
0.01789649,0.5861602,0.005348693,0.2492287,1.449992,0.04634428
-0.0125768,0.5611649,0.001076015,0.4969213,1.499827,0.09361706
-0.02340221,0.5564892,-0.002784808,0.6965718,1.499636,0.09004878
-0.02321244,0.5500344,0.0007984843,0.8974633,1.499447,0.08853009
-0.03884483,0.5625555,-0.002230621,1.098472,1.499277,0.0880105
-0.04280358,0.564145,0.00196548,1.299104,1.49914,0.08780779
-0.05663218,0.5761215,0.001510916,1.499468,1.499038,0.08771438
-0.07025478,0.5866303,0.002325455,1.69968,1.498966,0.08766809
-0.07829834,0.5939197,0.001923243,1.899806,1.498918,0.08764411
-0.09292454,0.6049671,0.001983596,2.099881,1.498886,0.08763137
-0.1046676,0.6155004,0.001946894,2.299927,1.498867,0.08762426
